Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
Qatar,60,Nike,FW,11,18-Nov-96,Al-Sadd,Akram Afif,3,0,0,1.67,0,0,3.33,-,-,Adidas
Qatar,60,Nike,FW,19,19-Aug-96,Al-Duhail,Almoez Ali,3,0,0,1.19,0.4,0.4,3.19,-,-,Nike
Qatar,60,Nike,FW,17,5-Apr-90,Al-Duhail,Ismaeel Mohammada,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,FW,9,20-Dec-93,Al-Duhail,Mohammed Muntari,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,FW,7,31-Jan-93,Al-Gharafa,Ahmed Alaaeldin,1,0,0,0,0,0,0,-,-,Nike
Qatar,60,Nike,FW,18,24-Feb-98,Al-Wakrah,Khalid Muneer,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Qatar,60,Nike,FW,24,18-Jul-01,Al-Rayyan,Naif Al-Hadhrami,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Iran,24,Majid,GK,1,12-Sep-92,Persepolis,Alireza Beiranvand,2,-,-,-,-,-,-,80.00%,0%,Adidas
Iran,24,Majid,GK,22,26-Apr-93,Ponferradina,Amir Absedzadeh,0,-,-,-,-,-,-,-,-,Adidas
Iran,24,Majid,GK,24,30-May-92,Esteghlal,Hossein Hosseini,2,-,-,-,-,-,-,50.00%,50%,Adidas
Iran,24,Majid,GK,12,6-Apr-95,Sepahann,Payam Niazmand,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Iran,24,Majid,DF,3,25-Feb-90,AEK Athens,Ehsan Hajsafi,3,0,0,0.76,0.76,3.03,5.68,-,-,Adidas
Iran,24,Majid,DF,13,23-Mar-94,Al Ahli,Hossein Kanaani,1,0,0,0,2.05,0,2.05,-,-,Nike
Iran,24,Majid,DF,8,19-Apr-92,Persepolis,Morteza Pouraliganji,3,0,0,0,2,0.67,7.66,-,-,Adidas
Iran,24,Majid,DF,23,21-Mar-90,Sepahan,Ramin Rezaeian,2,1,0,0.5,1.5,3.5,6.5,-,-,Nike
Iran,24,Majid,DF,5,29-Sep-93,AEK Athens,Milad Mohammadi,3,0,0,0.45,0.45,4.55,7.72,-,-,Nike
Iran,24,Majid,DF,4,31-May-89,Al-Ahli,Shojae Khalilzadeh,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Iran,24,Majid,DF,2,24-Mar-96,Dinamo Zagreb,Sadegh Moharrami,1,0,0,0,1,1,3,-,-,Nike
Iran,24,Majid,DF,19,20-Jun-96,Kayserispor,Majid Hosseini,3,0,0,0,2,2,6.33,-,-,Adidas
Iran,24,Majid,DF,25,26-Jun-98,Esteghlal,Abolfazi Jalali,1,0,0,1,0,0,0,-,-,Nike
Iran,24,Majid,MF,11,2-Apr-88,Persepolis,Vahid Amiri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Iran,24,Majid,MF,7,11-Aug-93,Feyenoord,Alireza Jahanbakhsh,2,0,0,1.53,1.53,1.53,3.05,-,-,Adidas
Iran,24,Majid,MF,6,1-Oct-96,Vejle,Saeid Ezatolahi,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Iran,24,Majid,MF,16,10-Sep-94,Persepolis,Mehdi Torabi,3,0,0,3.05,3.05,1.53,3.05,-,-,Nike
Iran,24,Majid,MF,15,24-Jun-93,Esteghlal,Rouzbeh Cheshmi,2,1,0,0,3.05,0,3.06,-,-,Adidas
Iran,24,Majid,MF,14,6-Sep-93,Brentford,Saman Ghoddos,1,0,0,0,0,2.05,2.05,-,-,Nike
Iran,24,Majid,MF,17,10-Mar-96,Charleroi,Ali Gholizadeh,3,0,1,3.18,1.36,0,1.82,-,-,Nike
Iran,24,Majid,MF,21,2-Jan-93,Shabab Al-Ahli,Ahmad Nourollahi,3,0,0,0.8,2.4,2,3.2,-,-,Nike
Iran,24,Majid,MF,18,11-Feb-94,Kayserispor,Ali Karimi,3,0,0,0,2.76,2.76,9.19,-,-,Puma
Iran,24,Majid,FW,10,3-Apr-90,Omonia,Karim Ansarifard,2,0,0,0,2.57,0,0,-,-,Nike
Iran,24,Majid,FW,20,1-Jan-95,Bayer Leverkusen,Sardar Azmoun,3,0,0,0.71,0,0,6.37,-,-,Nike
Iran,24,Majid,FW,9,18-Jul-92,Porto,Mehdi Taremi,3,2,1,1.67,0.67,1.33,6.34,-,-,Adidas
Wales,28,Adidas,GK,12,22-Jun-93,Leicester City,Danny Ward,2,-,-,-,-,-,-,57.14%,0%,Nike
Wales,28,Adidas,GK,1,24-Jan-87,Nottingham Forest,Wayne Hennessey,2,-,-,-,-,-,-,83.33%,0%,Nike
Wales,28,Adidas,GK,21,17-Jul-92,Sheffield United,Adam Davies,0,-,-,-,-,-,-,N.A,N.A,Nike
Wales,28,Adidas,DF,4,24-Apr-93,Tottenham,Ben Davies,3,0,0,1.13,0.38,1.51,8.67,-,-,Adidas
Wales,28,Adidas,DF,24,30-May-00,Swansea City,Ben Cabango,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Wales,28,Adidas,DF,6,22-Oct-97,Rennes,Joe Rodon,3,0,0,0,1.33,0.67,2,-,-,Nike
Wales,28,Adidas,DF,5,5-Nov-97,Bournemouth,Chris Mepham,3,0,0,0,0.33,2.33,7.33,-,-,Adidas
Wales,28,Adidas,DF,15,14-Sep-00,Spezia,Ethan Ampadu,3,0,0,0.7,1.4,1.4,4.9,-,-,Nike
Wales,28,Adidas,DF,2,21-Jul-89,AFC Wimbledon,Chris Gunter,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Wales,28,Adidas,DF,3,13-Apr-01,Nottingham Forest,Neco Williams,3,0,0,1.32,1.76,2.2,6.59,-,-,Puma
Wales,28,Adidas,DF,14,23-Sep-95,Burnley,Connor Roberts,3,0,0,0,0.45,1.34,2.69,-,-,Nike
Wales,28,Adidas,MF,22,25-Jan-99,Huddersfield Town,Sorba Thomas,1,0,0,0,0,0,0,-,-,Nike
Wales,28,Adidas,MF,7,14-Mar-00,Swansea City,Joe Allen,2,0,0,0,0.96,0.96,2.87,-,-,Nike
Wales,28,Adidas,MF,26,22-Nov-99,MK Dons,Matthew Smith,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Wales,28,Adidas,MF,23,17-Nov-00,Dundee United,Dylan Levitt,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Wales,28,Adidas,MF,8,22-Mar-97,Fulham,Harry Wilson,3,0,0,0,0.56,2.25,4.5,-,-,Adidas
Wales,28,Adidas,MF,16,3-Jan-97,Portsmouth,Joe Morrell,2,0,0,0,2.9,N.A,N.A,-,-,Nike
Wales,28,Adidas,MF,18,9-Oct-93,Swindon Town,Jonny Williams,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Wales,28,Adidas,MF,10,26-Dec-90,Nice,Aaron Ramsey,3,0,0,2.36,0,0.67,2.36,-,-,Nike
Wales,28,Adidas,FW,25,27-Apr-00,Cardiff City,Rubin Colwill,1,0,0,0,0,0,0,-,-,Adidas
Wales,28,Adidas,FW,11,16-Jul-89,Los Angeles FC,Gareth Bale,3,1,0,0.8,0.4,0.4,5.97,-,-,Adidas
Wales,28,Adidas,FW,13,8-Aug-92,Bournemouth,Kieffer Moore,3,0,0,0,0.8,0.4,10.85,-,-,Adidas
Wales,28,Adidas,FW,19,29-Dec-98,Cardiff City,Mark Harris,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Wales,28,Adidas,FW,9,23-May-01,Nottingham Forest,Brennan Johnson,3,0,0,4,0,0,0,-,-,Adidas
Wales,28,Adidas,FW,20,10-Nov-97,Fulham,Dan James,3,0,0,0.58,0.58,0.58,1.73,-,-,Adidas
Mexico ,15,Adidas,GK,13,13-Jul-85,America,Guillermo Ochoa,3,-,-,-,-,-,-,50%,33%,Nike
Mexico ,15,Adidas,GK,1,18-Sep-82,Juarez,Alfredo Talavera,0,-,-,-,-,-,-,-,-,Pirma
Mexico ,15,Adidas,GK,12,3-Jul-87,Leon,Rodolfo Cota,0,-,-,-,-,-,-,-,-,Pirma
Mexico ,15,Adidas,DF,15,17-Jan-88,Monterrey,Hector Moreno,3,0,0,0,0.33,0.67,5,-,-,Charly
Mexico ,15,Adidas,DF,23,15-Aug-94,Monterrey,Jesus Gallardo,3,0,0,1.33,0.33,3,5,-,-,Nike
Mexico ,15,Adidas,DF,2,29-Aug-91,America,Nestor Araujo,1,0,0,0,3,1,1,-,-,Nike
Mexico ,15,Adidas,DF,3,24-Feb-97,Monterrey,Cesar Montes,3,0,1,0.67,0.67,2,7.33,-,-,Adidas
Mexico ,15,Adidas,DF,19,10-Dec-97,Ajax,Jorge Sanchez,2,0,0,2.56,1.02,0.51,4.7,-,-,Nike
Mexico ,15,Adidas,DF,6,7-Sep-98,Genk,Gerardo Arteaga,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Mexico ,15,Adidas,DF,26,15-Jan-99,Pachuca,Kevin Alvarez,2,0,0,3.86,1.29,1.29,3.86,-,-,Adidas
Mexico ,15,Adidas,DF,5,22-Oct-98,Cremonese,Johan Vasquez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Mexico ,15,Adidas,MF,18,28-Sep-86,Real Betis,Andres Guardado,1,0,0,0,0,8.57,8.57,-,-,Adidas
Mexico ,15,Adidas,MF,16,19-Apr-90,Houston Dynamo,Hector Herrera,3,0,0,0,0.33,0.67,5,-,-,Nike
Mexico ,15,Adidas,MF,4,24-Oct-97,Ajax,Edson Alvarez,2,0,0,0.51,2.05,1.02,13.29,-,-,Adidas
Mexico ,15,Adidas,MF,17,24-Mar-96,AEK Athens,Orbelin Pineda,1,0,0,1.17,0,4.68,9.35,-,-,Adidas
Mexico ,15,Adidas,MF,21,21-Aug-97,Cruz Azul,Uriel Antuna,3,0,0,0,0,4.86,6.08,-,-,Nike
Mexico ,15,Adidas,MF,14,15-Jun-95,PSV,Erick Gutierrez,1,0,0,0,3.75,1.88,N.A,-,-,Adidas
Mexico ,15,Adidas,MF,8,3-Jan-97,Cruz Azul,Carlos Rodriguez,2,0,0,2,0,0,8.44,-,-,Nike
Mexico ,15,Adidas,MF,25,7-Sep-98,Guadalajara,Roberto Alvarado,1,0,0,1,0,0,10.58,-,-,Nike
Mexico ,15,Adidas,MF,7,5-Jun-95,Monterrey,Luis Romo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Mexico ,15,Adidas,MF,10,25-Nov-97,Guadalajara,Alexis Vega,3,0,0,1.38,0.46,0,4.13,-,-,Nike
Mexico ,15,Adidas,MF,24,15-Jan-96,Pachuca,Luis Chavez,3,1,0,1.33,0,0.33,7,-,-,Nike
Mexico ,15,Adidas,FW,9,5-May-91,Wolves,Raul Jimenez,3,0,0,0,1.61,0,11.25,-,-,Nike
Mexico ,15,Adidas,FW,22,30-Jul-95,Napoli,Hirving Lozano,3,0,0,2.49,0,2.49,8.54,-,-,Nike
Mexico ,15,Adidas,FW,20,18-Nov-92,America,Henry Martin,2,1,0,0,1.82,0.61,6.08,-,-,Adidas
Mexico ,15,Adidas,FW,11,5-Mar-91,Monterrey,Rogelio Funes Mori,1,0,0,0,0,N.A,N.A,-,-,Puma
Saudi Arabia,49,Nike,GK,21,10-Oct-91,Al-Hilal,Mohammed Al-Owais,3,-,-,-,-,-,-,73.68%,0%,Adidas
Saudi Arabia,49,Nike,GK,1,14-Aug-97,Al-Ahli,Mohammed Al Yami,0,-,-,-,-,-,-,-,-,Adidas
Saudi Arabia,49,Nike,GK,22,10-May-00,Al-Nassr,Nawaf Al-Aqidi,0,-,-,-,-,-,-,-,-,Nike
Saudi Arabia,49,Nike,DF,13,25-May-92,Al-Hilal,Yasser Al-Shahrani,1,0,0,0,6,3,3,-,-,Adidas
Saudi Arabia,49,Nike,DF,6,15-Sep-92,Al-Hilal,Mohammed Al-Breik,2,0,0,0,0,1.38,5.53,-,-,Nike
Saudi Arabia,49,Nike,DF,5,21-Nov-89,Al-Hilal,Ali Al-Bulaihi,3,0,0,0,1.24,1.66,4.56,-,-,Nike
Saudi Arabia,49,Nike,DF,2,6-May-94,Al-Nassr,Sultan Al-Ghanam,3,0,0,1.44,1.44,0,0,-,-,Nike
Saudi Arabia,49,Nike,DF,12,18-Jul-99,Al-Hilal,Saud Abdulhamid,3,0,0,1,0.33,1.67,6.66,-,-,Adidas
Saudi Arabia,49,Nike,DF,4,15-Jan-97,Al-Nassr,Abdulelah Al-Amri,3,0,0,0,1.98,0.49,N.A,-,-,Adidas
Saudi Arabia,49,Nike,DF,17,9-Feb-99,Al-Shabab,Hassan Tambakti,2,0,0,0,1,2,5.5,-,-,Nike
Saudi Arabia,49,Nike,DF,3,15-Jul-93,Al-Nassr,Abdullah Madu,1,0,0,0,2.05,2.05,6.14,-,-,Nike
Saudi Arabia,49,Nike,MF,18,26-Jan-90,Al-Shabab,Nawaf Alabid,2,0,0,0.66,2.09,0,6.28,-,-,Nike
Saudi Arabia,49,Nike,MF,7,1-Aug-89,Al-Hilal,Salman Al-Faraj,1,0,0,0,0,2,2,-,-,Adidas
Saudi Arabia,49,Nike,MF,10,19-Aug-91,Al-Hilal,Salem Al-Dawsari,3,2,0,2.33,0.33,1.67,3.66,-,-,Nike
Saudi Arabia,49,Nike,MF,14,3-Aug-92,Al-Hilal,Abdullah Otayf,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,23,22-Sep-94,Al-Hilal,Mohamed Kanno,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,8,11-Oct-94,Al-Hilal,Abdulellah Al-Malki,2,0,0,0,1.54,2.06,4.11,-,-,Adidas
Saudi Arabia,49,Nike,MF,16,7-Feb-97,Al-Nassr,Sami Al-Najei,1,0,0,0,0,0,0,-,-,Adidas
Saudi Arabia,49,Nike,MF,15,4-Mar-97,Al-Nassr,Ali Al-Hassan,1,0,0,0,0,0,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,24,19-Dec-98,Al-Hilal,Nasser Al-Dawsari,1,0,0,0,0,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,MF,20,1-Jun-95,Al-Ittihad,Abdulrahman Al-Aboud,2,0,0,0.66,0,N.A,N.A,-,-,Nike
Saudi Arabia,49,Nike,FW,9,14-May-00,Al-Fateh,Firas Al-Buraikan,3,0,1,1.67,0.67,1,6.36,-,-,Nike
Saudi Arabia,49,Nike,FW,11,1-Nov-93,Al-Hilal,Saleh Al-Shehri,3,1,0,0.8,0,1.2,8,-,-,Adidas
Saudi Arabia,49,Nike,FW,25,25-Mar-01,Al-Ahli,Haitham Asiri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,GK,1,5-Nov-86,Nice,Kasper Schmeichel,3,-,-,-,-,-,-,72.73%,33%,Nike
Denmark,18,Hummel,GK,16,22-Mar-99,Hertha Berlin,Oliver Christensen,0,-,-,-,-,-,-,-,-,Puma
Denmark,18,Hummel,GK,22,4-Aug-92,Union Berlin,Frederik Ronnow,0,-,-,-,-,-,-,-,-,Adidas
Denmark,18,Hummel,DF,4,26-Mar-89,AC Milan,Simon Kjaer,1,0,0,0,6.92,0,8.3,-,-,Nike
Denmark,18,Hummel,DF,6,10-Apr-96,Barcelona,Andreas Christensen,3,1,0,0,1.33,1.67,6,-,-,Adidas
Denmark,18,Hummel,DF,17,21-Feb-91,Trabzonspor,Jens Stryger Larsen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Denmark,18,Hummel,DF,18,31-May-89,Brondby,Daniel Wass,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Denmark,18,Hummel,DF,13,11-Jul-97,Leeds United,Rasmus Kristensen,3,0,0,1.59,0.8,3.58,6.77,-,-,Adidas
Denmark,18,Hummel,DF,5,20-May-97,Atalanta,Joakim Maehle,3,0,0,3.25,0.72,3.25,5.42,-,-,Adidas
Denmark,18,Hummel,DF,2,31-May-96,Crystal Palace,Joachim Andersen,3,0,1,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,DF,8,3-Sep-91,Sevilla,Thomas Delaney,1,0,0,0,0,0,8,-,-,Nike
Denmark,18,Hummel,DF,3,14-Oct-98,Galatasaray,Victor Nelsson,1,0,0,0,2,0,10,-,-,Adidas
Denmark,18,Hummel,DF,26,9-Dec-97,Benfica,Alexander Bah,2,0,0,0.5,4.06,N.A,N.A,-,-,Nike
Denmark,18,Hummel,MF,10,14-Feb-92,Manchester United,Christian Eriksen,3,0,0,1.33,0.33,0.33,0.67,-,-,Nike
Denmark,18,Hummel,MF,15,10-Mar-94,Brentford,Christian Norgaard,1,0,0,N.A,N.A,N.A,N.A,-,-,Puma
Denmark,18,Hummel,MF,23,5-Aug-95,Tottenham,Pierre-Emile Hojbjerg,3,0,0,0.67,1.33,1.33,2.66,-,-,Adidas
Denmark,18,Hummel,MF,7,1-Jan-96,Brentford,Mathias Jensen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,FW,24,20-May-96,Hoffenheim ,Robert Skov,1,0,0,1,0,0,0,-,-,Adidas
Denmark,18,Hummel,FW,9,5-Jun-91,Espanyol,Martin Braithwaite,2,0,0,1.75,0,0,2.62,-,-,Nike
Denmark,18,Hummel,FW,21,16-Mar-93,Copenhagen,Andreas Cornelius,3,0,0,0.98,0,0,N.A,-,-,Nike
Denmark,18,Hummel,FW,12,6-Oct-97,Sevilla,Kasper Dolberg,3,0,0,1.59,0,0.8,3.19,-,-,Adidas
Denmark,18,Hummel,FW,11,29-Dec-99,Club Brugge,Andreas Skov Olsen,2,0,0,1.34,0,0,2.01,-,-,Nike
Denmark,18,Hummel,FW,14,3-Jul-00,Brentford,Mikkel Damsgaard,3,0,0,0.6,0.6,2.42,3.02,-,-,Nike
Denmark,18,Hummel,FW,19,7-Feb-99,Wolfsburg,Jonas Wind,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Denmark,18,Hummel,FW,25,29-Feb-00,Eintracht Frankfurt,Jesper Lindstrom,3,0,0,5.4,0,0.45,4.95,-,-,Adidas
Denmark,18,Hummel,FW,20,15-Jun-94,RB Leipzig,Yussuf Yurary Poulsen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,GK,16,27-Jan-97,CS Sfaxien,Aymen Dahmen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Adidas
Tunisia,30,Kappa,GK,26,5-Mar-95,Club Africain,Mouez Hassen,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Tunisia,30,Kappa,GK,1,14-Sep-84,Etoile du Sahel,Balbouli,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Tunisia,30,Kappa,GK,22,29-Nov-94,US Monastir,Bechir Ben SaÃ¯d,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Adidas
Tunisia,30,Kappa,DF,20,25-Jun-96,Luzern,Mohamed Drager,2,0,0,1.34,0.67,3.36,7.38,-,-,Adidas
Tunisia,30,Kappa,DF,21,5-Nov-95,Atromitos,Wajdi Kechrida,3,0,0,3.3,0,2.48,4.96,-,-,Nike
Tunisia,30,Kappa,DF,2,9-Mar-90,Kuwait SC,Bilel Ifa,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,DF,3,26-May-98,Lorient,Montassar Talbi,3,0,0,0,0.33,1,7,-,-,Adidas
Tunisia,30,Kappa,DF,6,19-Jun-95,Salernitana,Dylan Bronn,2,0,0,0,0,1.66,4.41,-,-,Nike
Tunisia,30,Kappa,DF,4,2-Jul-93,Esperalace,Yassine Meriah,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,DF,5,18-Feb-95,Club Africain,Nader Ghandri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Tunisia,30,Kappa,DF,12,1-Jan-90,Al Ahly,Ali Maaloul,1,0,0,0,0,1,1,-,-,Adidas
Tunisia,30,Kappa,DF,24,20-Dec-93,Caen,Ali Abdi,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Tunisia,30,Kappa,MF,17,10-May-95,FC Koln,Ellyes Skhiri,3,0,0,0.67,2.33,3.33,5,-,-,Nike
Tunisia,30,Kappa,MF,14,13-Dec-96,Ferencvaros,Aissa Laidouni,3,0,1,1.1,1.1,1.1,1.47,-,-,Adidas
Tunisia,30,Kappa,MF,13,18-Mar-92,Al-Duhail,Ferjani Sassi,2,0,0,1,1.96,3.91,N.A,-,-,Nike
Tunisia,30,Kappa,MF,18,28-Feb-94,Esperance de Tunis,Ghailene Chaalali,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,MF,8,21-Jan-03,Manchester United,Hannibal Mejbri,1,0,0,0,N.A,N.A,N.A,-,-,Adidas
Tunisia,30,Kappa,MF,15,6-Sep-99,Esperance de Tunis,Mohamed Ali Ben Romdhane,1,0,0,1.22,0,6.08,N.A,-,-,Nike
Tunisia,30,Kappa,FW,19,12-Feb-93,Zamalek,Seifeddine Jaziri,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Tunisia,30,Kappa,FW,26,27-Jul-92,Al-Ettifaq,Naim Sliti,2,0,0,4.78,0,2.39,N.A,-,-,Adidas
Tunisia,30,Kappa,FW,11,6-Jan-92,Kuwait SC,Taha Yassine Khenissi,2,0,0,0,0,0,3.33,-,-,Nike
Tunisia,30,Kappa,FW,25,16-Mar-01,Brondby,Anis Ben Slimane,2,0,0,0.6,0.6,1.8,9,-,-,Nike
Tunisia,30,Kappa,FW,9,25-Dec-91,OB,Issam Jebali,3,0,0,0.98,0,1.48,4.91,-,-,Mizuno
Tunisia,30,Kappa,FW,10,8-Feb-91,Montpellier,Wahbi Khazri,2,1,0,1,0,2.17,4.34,-,-,Nike
Tunisia,30,Kappa,FW,7,28-Oct-90,Al-Duhail,Youssef Msakni,2,0,0,2.65,0,1.59,9,-,-,Nike
Germany,14,Adidas,GK,1,27-Mar-86,Bayern Munich,Manuel Neuer,3,-,-,-,-,-,-,61.54%,0%,Adidas
Germany,14,Adidas,GK,22,30-Apr-92,Barcelona,Marc-Andre ter Stegen,0,-,-,-,-,-,-,-,-,Adidas
Germany,14,Adidas,GK,12,8-Jul-90,Eintracht Frankfurt,Kevin Trapp,0,-,-,-,-,-,-,-,-,Adidas
Germany,14,Adidas,DF,2,3-Mar-93,Real Madrid,Antonio Rudiger,3,0,0,0,0,0.67,5.67,-,-,Nike
Germany,14,Adidas,DF,4,18-Jan-94,Freiburg,Matthias Ginter,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Germany,14,Adidas,DF,15,3-Sep-95,Borussia Dortmund,Niklas Sule,3,0,0,0,0,1.67,6.33,-,-,Nike
Germany,14,Adidas,DF,5,21-Sep-96,West Ham,Thilo Kehrer,1,0,0,0,2.57,7.71,7.71,-,-,Nike
Germany,14,Adidas,DF,16,3-Jun-96,RB Leipzig,Lukas Klostermann,2,0,0,0,0,4.22,4.22,-,-,Nike
Germany,14,Adidas,DF,3,22-Apr-98,RB Leipzig,David Raum,3,0,1,1.11,2.58,1.84,7.37,-,-,Nike
Germany,14,Adidas,DF,20,28-Feb-93,Freiburg,Christian Gunter,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Germany,14,Adidas,DF,23,1-Dec-99,Borussia Dortmund,Nico Schlotterbeck,2,0,0,1.94,0.97,3.87,8.71,-,-,Adidas
Germany,14,Adidas,DF,25,11-Dec-01,Southampton,Armel Bella-Kotchap,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Germany,14,Adidas,MF,6,8-Feb-95,Bayern Munich,Joshua Kimmich,3,0,0,1.67,1.33,1.67,4.67,-,-,Nike
Germany,14,Adidas,MF,11,3-Jun-92,Eintracht Frankfurt,Mario Gotze,2,0,0,1,0,N.A,N.A,-,-,Nike
Germany,14,Adidas,MF,21,24-Oct-90,Manchester City,Ilkay Gundogan,3,1,0,0.94,0.47,1.41,6.1,-,-,Adidas
Germany,14,Adidas,MF,8,6-Feb-95,Bayern Munich,Leon Goretzka,3,0,0,0,0.57,2.83,7.93,-,-,Adidas
Germany,14,Adidas,MF,17,2-May-96,Borussia Dortmund,Julian Brandt,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Germany,14,Adidas,MF,7,11-Jun-99,Chelsea,Kai Havertz,2,2,0,0,0.87,0.87,0.87,-,-,Nike
Germany,14,Adidas,MF,14,26-Feb-03,Bayern Munich,Jamal Musiala,3,0,1,10.08,0.35,0.35,9.04,-,-,Nike
Germany,14,Adidas,MF,18,14-Jul-92,Borussia Monchengladbach,Jonas Hofmann,2,0,0,3.21,0,0,0,-,-,Puma
Germany,14,Adidas,FW,13,13-Sep-89,Bayern Munich,Thomas Muller,3,0,0,0,0.44,0.89,2.21,-,-,Adidas
Germany,14,Adidas,FW,19,11-Jan-96,Bayern Munich,Leroy Sane,2,0,1,4.09,0,0.82,3.87,-,-,Nike
Germany,14,Adidas,FW,10,14-Jul-95,Bayern Munich,Serge Gnabry,3,1,1,1.7,68,1.7,3.4,-,-,Adidas
Germany,14,Adidas,FW,24,18-Jan-02,Borussia Dortmund,Karim Adeyemi,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Germany,14,Adidas,FW,9,9-Feb-93,Werder Bremen,Niclas Fullkrug,3,2,1,0.33,0,0,13.63,-,-,Nike
Germany,14,Adidas,FW,26,20-Nov-04,Borussia Dortmund,Youssoufa Moukoko,1,0,0,0,0,0,0,-,-,Nike
Costa Rica,32,New Balance,GK,1,15-Dec-86,PSG,Keylor Navas,3,-,-,-,-,-,-,50%,33%,Adidas
Costa Rica,32,New Balance,GK,18,28-Apr-89,Herediano,Esteban Alvarado,0,-,-,-,-,-,-,-,-,Adidas
Costa Rica,32,New Balance,GK,23,1-Mar-99,Lugo,Patrick Sequeira,0,-,-,-,-,-,-,-,-,Nike
Costa Rica,32,New Balance,DF,8,18-Feb-90,Real Salt Lake,Bryan Oviedo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,DF,6,3-Jun-89,Al-Wehda,Oscar Duarte,3,0,0,0,2.33,1.33,2.67,-,-,Adidas
Costa Rica,32,New Balance,DF,19,1-Jan-88,Aprissa,Kendall Waston,3,0,0,0,2.01,2.81,6.02,-,-,New Balance
Costa Rica,32,New Balance,DF,22,9-Jul-94,Cincinnati,Ronald Matarrita,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,DF,4,12-Jul-94,Herediano,Keysher Fuller,3,1,0,0.71,0.71,1.77,3.54,-,-,Nike
Costa Rica,32,New Balance,DF,3,6-Jun-95,Millonarios,Juan Pablo Vargas,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Costa Rica,32,New Balance,DF,16,30-Mar-99,San Carlos,Carlos Martinez,1,0,0,0,1.96,1.96,5.87,-,-,Nike
